date,Antigua and Barbuda,Argentina,Belize,Bolivia,Brazil,Chile,Colombia,Costa Rica,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,St. Lucia,Suriname,Trinidad and Tobago,Uruguay,"Venezuela, RB"
1979,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.9,..,..,..,..,..,..,..
1980,..,2.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1981,..,..,..,..,31.4,..,..,35.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14
1982,..,..,..,..,31.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1983,..,..,..,..,37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1984,..,..,..,..,36.5,..,..,..,..,..,..,..,..,..,..,..,20.7,..,..,..,..,..,..,..,..,..
1985,..,..,..,..,32.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1986,..,2.5,..,..,19.2,..,..,24.2,11.4,..,..,55,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1987,..,3.6,..,..,26.7,23.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.2
1988,..,..,..,..,28.9,..,..,..,..,..,..,..,..,..,..,17.6,..,..,..,..,..,..,..,7.1,..,..
1989,..,..,..,..,26.9,..,..,20.5,24.6,..,27.2,44,..,..,49.8,..,20.2,..,30.3,..,..,..,..,..,..,10.8
1990,..,..,..,..,30.6,18.9,..,17.7,..,..,..,..,..,..,51.8,17.9,..,..,..,5,..,..,..,..,..,..
1991,..,6,..,..,..,..,..,20.8,..,..,31.3,..,..,..,45,..,..,..,27.8,..,..,..,..,..,..,..
1992,..,6.4,..,29.9,30.3,14.6,20.4,18.2,15.5,..,..,..,43,..,41.5,..,17.4,..,..,..,..,..,..,11.3,2.5,10.5
1993,..,6.9,21.2,..,29.4,..,..,15.4,..,..,..,..,..,..,36.4,25.8,..,45.7,..,..,..,..,..,..,..,..
1994,..,7.2,22,..,..,13.8,..,12.8,..,29.4,..,..,..,..,37.6,..,17.2,..,..,..,..,..,..,..,..,..
1995,..,9.8,..,..,21.7,..,..,13.5,..,..,23.4,..,..,..,38.6,..,..,..,22.2,19,..,47.8,..,..,2.3,19.2
1996,..,11,26.3,..,22.3,11.1,27.7,15.2,12.2,..,24.6,..,..,..,41.2,14.5,29.2,..,..,..,..,..,..,..,2.5,..
1997,..,10.3,28.3,27.3,22.4,..,..,13.1,11.6,..,..,..,..,..,32.7,..,..,..,20.9,16.4,26.1,..,..,..,2.4,..
1998,..,11.3,26.7,..,21.2,10.3,..,10.8,..,..,28.2,23.3,22,..,35.7,..,23,36.9,21.1,..,25.7,..,..,..,2.4,19
1999,..,11.7,23.8,32.4,22.1,..,30.8,12.5,..,33.1,25.2,..,..,..,36.4,10,..,..,19.2,16.3,26.2,..,29.2,..,..,21
2000,..,13.4,..,36.2,..,11.3,27.6,12.8,11.7,39.6,20.8,19.1,..,..,..,..,18.3,..,17.8,..,25.5,..,..,..,2.5,..
2001,..,17.2,..,31.1,19.4,..,31.7,9.7,11.1,..,22.1,..,..,..,29.4,..,..,30.1,21.2,15.4,27,..,..,..,2.9,19.3
2002,..,24.9,..,32.7,18.5,..,23.9,9.2,12.3,..,22.4,..,..,..,32.9,11.2,16.2,..,17.8,21.4,24.4,..,..,..,3.8,26.2
2003,..,14.8,..,..,19.2,10.9,23.1,9,15.3,25.4,23.4,..,..,..,36.8,..,..,..,17.2,16.3,22.7,..,..,..,5.1,30.4
2004,..,12,..,24.4,17.9,..,22.5,8.9,19.1,26,20,..,..,..,35.9,9.2,14.2,..,16.3,14.1,23.3,..,..,..,5.9,26.5
2005,..,9.8,..,27.4,16.6,..,20.2,7.6,14.3,21.1,19.7,..,..,..,34.8,..,14.4,22.3,15.7,13,25,..,..,..,5.3,22
2006,..,7.8,..,24.2,14.4,5.8,..,7.5,12.6,17.3,16.8,19.9,..,..,30.6,..,11.9,..,16.2,15.9,22,..,..,..,4.6,13.5
2007,..,6.9,..,22.1,13.6,..,..,5.5,12.3,17,14.2,..,..,..,26.7,..,..,..,13.6,14,18.9,..,..,..,3.8,..
2008,..,6.4,..,17.9,11.8,..,19.2,5.4,12.5,15.9,17.2,..,..,..,25.3,..,12.8,..,9.8,11.6,16.3,..,..,..,2.6,..
2009,..,5.7,..,15.9,11.1,4.5,17.9,5.5,11.3,15.5,16.9,..,..,..,22.6,..,..,19.7,8.6,12.1,14.7,..,..,..,2.5,..
2010,..,4.8,..,..,..,..,16.1,4.4,11,13.3,16,..,..,..,24.4,..,12,..,9,11.3,12.6,..,..,..,2,..
2011,..,3.7,..,12.3,9.5,3.3,14.4,4.6,10.4,11.3,15.2,..,..,..,24.8,..,..,..,7.3,10.7,11.7,..,..,..,1.5,..
2012,..,3.6,..,12.9,8.1,..,13.8,4.3,10.5,10.5,13.8,..,..,39.4,28.7,..,11.3,..,8,8.4,10.7,..,..,..,1.4,..
2013,..,3.4,..,11.3,7.2,1.7,12.8,4.3,9.9,9.5,12.2,..,..,..,26,..,..,..,7,6.2,10.1,..,..,..,1.2,..
2014,..,3.7,..,10.5,6.4,..,11.8,4,8.2,8.2,11.9,20.5,..,..,25.1,..,11.4,12.3,7.1,6.6,9.5,..,..,..,1,..
2015,..,..,..,10.7,6.9,1.3,11.1,4,6.9,8.9,10.3,..,..,..,25,..,..,..,5.9,6.4,9.2,..,..,..,0.9,..
2016,..,3.7,..,11.7,7.9,..,10.9,3.7,6.3,8.7,10.4,..,..,..,24.6,..,8.1,..,5.8,6.3,9.1,9.2,..,..,0.9,..
2017,..,3.2,..,11,8.2,0.9,10.4,3.1,4.4,8.2,9,..,..,..,24.2,..,..,..,5.5,5.1,9,..,..,..,0.7,..
2018,..,4.1,..,9.6,8.1,..,10.5,3.8,3.6,8.7,8.1,..,..,..,24.2,..,6.9,..,4.7,5.1,7.9,..,..,..,0.6,..
2019,..,4.8,..,7.3,8.1,..,11.4,3.3,3.2,9.2,6.5,..,..,..,23.6,..,..,..,4.3,4.7,7.1,..,..,..,0.7,..
2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
